Country,Year,"Count of terrorist incidents"
Colombia,1968,2
Colombia,1969,1
Colombia,1970,3
Colombia,1971,2
Colombia,1972,2
Colombia,1973,1
Colombia,1975,5
Colombia,1976,16
Colombia,1977,8
Colombia,1978,10
Colombia,1979,2
Colombia,1980,7
Colombia,1981,8
Colombia,1982,5
Colombia,1983,12
Colombia,1984,10
Colombia,1985,18
Colombia,1986,29
Colombia,1987,12
Colombia,1988,26
Colombia,1989,22
Colombia,1990,8
Colombia,1991,3
Colombia,1992,21
Colombia,1993,9
Colombia,1994,31
Colombia,1995,10
Colombia,1996,22
Colombia,1997,12
Colombia,1998,136
Colombia,1999,95
Colombia,2000,192
Colombia,2001,126
Colombia,2002,432
Colombia,2003,147
Colombia,2004,76
Colombia,2005,104
Colombia,2006,135
Colombia,2007,50
Colombia,2008,56
Colombia,2009,47
Israel,1968,13
Israel,1969,6
Israel,1970,3
Israel,1971,3
Israel,1972,19
Israel,1974,13
Israel,1975,9
Israel,1976,7
Israel,1977,10
Israel,1978,15
Israel,1979,30
Israel,1980,12
Israel,1981,7
Israel,1982,6
Israel,1983,3
Israel,1984,10
Israel,1985,45
Israel,1986,27
Israel,1987,32
Israel,1988,31
Israel,1989,27
Israel,1990,23
Israel,1991,15
Israel,1992,11
Israel,1993,15
Israel,1994,24
Israel,1995,11
Israel,1996,10
Israel,1997,6
Israel,1998,20
Israel,1999,14
Israel,2000,19
Israel,2001,85
Israel,2002,108
Israel,2003,74
Israel,2004,27
Israel,2005,75
Israel,2006,427
Israel,2007,49
Israel,2008,306
Israel,2009,40
Kashmir,1995,1
Kashmir,1998,20
Kashmir,1999,6
Kashmir,2000,11
Kashmir,2001,38
Kashmir,2002,485
Kashmir,2003,238
Kashmir,2004,51
Kashmir,2005,90
Kashmir,2006,140
Kashmir,2007,22
Kashmir,2008,1
Palestine,1970,1
Palestine,1972,1
Palestine,1976,1
Palestine,1977,1
Palestine,1979,2
Palestine,1980,1
Palestine,1985,7
Palestine,1990,3
Palestine,1991,2
Palestine,1993,1
Palestine,1994,5
Palestine,1995,5
Palestine,1996,2
Palestine,1997,1
Palestine,1998,31
Palestine,1999,10
Palestine,2000,167
Palestine,2001,328
Palestine,2002,432
Palestine,2003,164
Palestine,2004,351
Palestine,2005,478
Palestine,2006,28
Palestine,2007,16
Spain,1968,1
Spain,1969,2
Spain,1970,1
Spain,1971,2
Spain,1972,2
Spain,1973,3
Spain,1974,5
Spain,1975,2
Spain,1976,8
Spain,1977,8
Spain,1978,5
Spain,1979,18
Spain,1980,10
Spain,1981,5
Spain,1982,10
Spain,1983,18
Spain,1984,24
Spain,1985,16
Spain,1986,31
Spain,1987,27
Spain,1988,28
Spain,1989,17
Spain,1990,11
Spain,1991,7
Spain,1992,5
Spain,1993,2
Spain,1994,3
Spain,1995,2
Spain,1996,7
Spain,1997,1
Spain,1998,109
Spain,1999,172
Spain,2000,210
Spain,2001,236
Spain,2002,114
Spain,2003,46
Spain,2004,51
Spain,2005,67
Spain,2006,48
Spain,2007,39
Spain,2008,39
Spain,2009,16
"United States",1968,36
"United States",1969,2
"United States",1970,18
"United States",1971,25
"United States",1972,13
"United States",1973,14
"United States",1974,14
"United States",1975,45
"United States",1976,41
"United States",1977,26
"United States",1978,20
"United States",1979,24
"United States",1980,29
"United States",1981,26
"United States",1982,30
"United States",1983,16
"United States",1984,6
"United States",1985,3
"United States",1986,3
"United States",1987,6
"United States",1988,3
"United States",1989,8
"United States",1990,2
"United States",1991,4
"United States",1992,1
"United States",1993,2
"United States",1994,3
"United States",1995,1
"United States",1996,2
"United States",1997,16
"United States",1998,7
"United States",1999,8
"United States",2000,9
"United States",2001,36
"United States",2002,16
"United States",2003,18
"United States",2004,7
"United States",2005,13
"United States",2006,1
"United States",2007,4
"United States",2008,3
"United States",2009,6
