Country,Year,"Fatalities due to airline hijacking","Number of airline hijackings"
World,1942,0,0
World,1943,0,0
World,1944,0,0
World,1945,0,0
World,1946,0,0
World,1947,0,0
World,1948,26,7
World,1949,1,7
World,1950,0,4
World,1951,0,1
World,1952,2,4
World,1953,0,0
World,1954,1,2
World,1955,0,0
World,1956,1,2
World,1957,0,0
World,1958,18,7
World,1959,1,6
World,1960,3,8
World,1961,3,10
World,1962,0,1
World,1963,0,1
World,1964,0,0
World,1965,1,5
World,1966,2,4
World,1967,0,4
World,1968,1,29
World,1969,5,86
World,1970,7,77
World,1971,8,54
World,1972,25,59
World,1973,88,22
World,1974,83,20
World,1975,2,19
World,1976,15,16
World,1977,114,32
World,1978,3,25
World,1979,0,23
World,1980,1,37
World,1981,6,30
World,1982,1,31
World,1983,12,35
World,1984,33,27
World,1985,65,26
World,1986,87,16
World,1987,2,12
World,1988,12,15
World,1989,1,15
World,1990,86,38
World,1991,6,20
World,1992,4,11
World,1993,4,36
World,1994,8,27
World,1995,1,12
World,1996,125,17
World,1997,1,12
World,1998,1,14
World,1999,2,13
World,2000,5,26
World,2001,268,11
World,2002,2,10
World,2003,0,9
World,2004,0,4
World,2005,0,1
World,2006,0,3
World,2007,0,6
World,2008,0,2
World,2009,0,4
World,2010,0,1
World,2011,0,1
World,2012,3,4
World,2013,0,1
World,2014,0,3
